train,valid
-6.10712742824524,-8.353926433563233
-8.247271970438119,-9.081391960144042
-9.27241266725924,-9.963572479248048
-10.053740239371889,-10.7767710647583
-10.593967066024438,-10.751573226928713
-10.933646217321815,-11.359166900634763
-11.231236750325456,-11.572833656311037
-11.475881881226366,-11.726707580566408
-11.649906438760484,-11.818013458251952
-11.906020060895733,-12.252867553710937
-11.955765128516541,-12.059713661193848
-12.204722288698434,-12.356062774658204
-12.398184380211388,-12.405728424072265
-12.527879346293002,-12.593050491333008
-12.625463354701813,-12.512683654785157
-12.827096329710354,-12.877749481201171
-12.88016945714006,-12.792592315673827
-13.05927048095118,-12.868959785461426
-13.100109277061,-12.722133491516113
-13.256965390409524,-12.9009790725708
