train,valid
0.0005734395154532,4.487179761053994e-05
3.060832967983184e-05,2.346221545303706e-05
2.206857185321712e-05,2.042643177264836e-05
2.002245669144194e-05,1.8820800883986523e-05
1.8533597392034336e-05,1.7437338130548598e-05
1.7288320927931658e-05,1.6527601459529252e-05
1.630307284044604e-05,1.571619931200985e-05
1.549089127644683e-05,1.505619350791676e-05
1.4840436775127415e-05,1.426822631037794e-05
1.442902802360265e-05,1.400839262350928e-05
1.4065022307372588e-05,1.3670706954144406e-05
1.3797358196796314e-05,1.3369766733376309e-05
1.3544370390103978e-05,1.302964982460253e-05
1.335067604733527e-05,1.29548512850306e-05
1.315799086303439e-05,1.2843213931773787e-05
1.2908345030945393e-05,1.2658416133490391e-05
1.267383369629159e-05,1.2459632067475467e-05
1.2418115850926314e-05,1.2097570928744973e-05
1.2192551058744224e-05,1.185922264266992e-05
1.1987755368436727e-05,1.133126384956995e-05
1.2420267134243934e-05,1.1163973300426731e-05
1.1679988660987804e-05,1.1093745975813363e-05
1.1551462891268932e-05,1.0951980475510935e-05
1.1408073377491276e-05,1.080751303015859e-05
1.1235008181925244e-05,1.0915519545960706e-05
1.1145109242054644e-05,1.0514884314034134e-05
1.0977306191054636e-05,1.0285167794791053e-05
1.0859895713491395e-05,1.0214768160949462e-05
1.0689555518055773e-05,9.934556353982773e-06
1.058059623524684e-05,1.001640418326133e-05
1.034391028277956e-05,9.48734454868827e-06
9.80985751026403e-06,8.931472370022675e-06
9.241942622790526e-06,8.545760309061734e-06
9.046674130660014e-06,8.658426009787945e-06
8.717002175034143e-06,8.360474897926906e-06
8.618245416369863e-06,8.186191520508146e-06
8.490967577988243e-06,8.307681768201291e-06
8.305922582136603e-06,8.07465921388939e-06
8.16709909061998e-06,7.63967445891467e-06
8.020589417245532e-06,7.753711695841048e-06
8.05704418923187e-06,7.416475546051515e-06
7.674156607502194e-06,7.462778648914537e-06
7.559855946576031e-06,7.185697442764649e-06
7.4729210019939e-06,7.053501070913626e-06
7.2578052404365825e-06,7.038604151603067e-06
7.142652525355818e-06,6.990859918005299e-06
7.0325359977108945e-06,6.9390665703394915e-06
6.923512761152317e-06,6.684358573693316e-06
6.866241391618385e-06,6.7941814122605135e-06
6.767626133476445e-06,6.5394956909585745e-06
6.703544055001428e-06,6.692470917187166e-06
6.554717686502992e-06,6.449614291341277e-06
6.558763262770304e-06,6.594269532797625e-06
6.42359335966313e-06,7.056140388158383e-06
6.399177056182133e-06,6.254716688999906e-06
6.3218277106692e-06,6.4342378900619225e-06
6.215303355842619e-06,6.167598243337125e-06
6.198225002355086e-06,6.3164980601868594e-06
6.090143371763295e-06,6.083992917410797e-06
5.980622163609626e-06,6.0312772147881336e-06
